Taipei,Taiwan,Asia,5,4,5,4,3,3,4,5,4,3,5,4,4,3.7,3,3,5,4,4,5,3,5,108
Tainan,Taiwan,Asia,3,3,5,4,1,3,4,5,4,4,3,4,3,3.87,3,3,5,4,4,5,4,4,3
Hong Kong,China,Asia,5,3,4,2,3,3,3,1,4,5,4,4,5,3.46,2,1,4,4,4,5,4,4,213
Bogota,Colombia,Latin America,2,4,4,4,2,2,4,4,3,4,3,4,3,3.17,3,1,4,2,4,5,2,4,66
Cartagena,Colombia,Latin America,2,4,5,4,1,2,4,4,3,5,2,4,4,3.05,3,1,4,2,4,5,5,3,66
Medellín,Colombia,Latin America,3,3,4,4,2,2,4,4,3,4,3,4,4,4.3,4,1,4,2,4,5,3,4,151
Cape Town,South Africa,Africa,3,4,1,4,5,3,2,1,2,4,4,3,4,3.02,4,3,2,2,3,5,3,4,71
Milan,Italy,Europe,3,3,5,1,3,4,3,5,4,4,3,4,4,3.11,1,3,5,4,4,5,4,4,87
Lausanne,Switzerland,Europe,3,3,5,2,3,5,5,5,4,3,4,4,3,2.36,4,4,5,5,4,5,3,2,9
Lugano,Switzerland,Europe,4,3,5,2,4,5,5,5,4,3,4,4,4,3.89,5,4,5,5,5,5,4,4,2
Bordeaux,France,Europe,5,3,5,2,2,4,4,5,4,3,4,4,3,3.74,3,3,5,4,4,5,3,4,23
Rio de Janeiro,Brazil,Latin America,4,4,2,3,2,3,4,2,4,5,4,4,5,2.41,1,2,2,2,4,5,4,2,58
Florianopolis,Brazil,Latin America,2,3,5,4,2,3,4,2,3,5,4,4,3,1.13,4,2,2,2,3,5,5,1,28
Dubai,United Arab Emira,Middle East,5,4,2,1,4,4,4,1,3,4,1,4,3,3.48,4,2,5,5,4,5,3,3,86
Ottawa,Canada,North America,3,3,5,3,5,5,5,4,4,3,3,4,2,3.64,3,4,5,4,4,5,3,3,9
Toronto,Canada,North America,4,3,5,2,5,5,5,4,4,4,5,4,5,3.74,4,4,5,4,5,5,3,4,85
Basel,Switzerland,Europe,3,3,5,2,3,5,5,5,4,3,3,4,3,3.02,5,4,5,5,4,5,3,3,10
Verona,Italy,Europe,4,3,5,1,3,4,3,5,3,3,2,4,3,3.71,4,3,5,4,4,5,5,4,9
Bruges,Belgium,Europe,3,3,5,1,3,5,4,4,5,3,3,4,4,2.87,4,4,5,4,4,1,1,4,15
